epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.391,2.5788,1.61773,0.87661,0.49727,0.44768,0.43973,0.16454,2.50595,1.56321,0.90242,0.000821206,0.000821206,0.000821206
43,207.237,2.61279,1.62127,0.8733,0.50369,0.41677,0.40947,0.13261,2.68582,1.57354,0.92375,0.000800577,0.000800577,0.000800577
44,211.975,2.54231,1.57149,0.87753,0.50887,0.42667,0.41796,0.13767,2.66374,1.54694,0.92118,0.000779948,0.000779948,0.000779948
45,216.658,2.41528,1.54829,0.88672,0.50887,0.42667,0.41796,0.13767,2.66374,1.54694,0.92118,0.000759318,0.000759318,0.000759318
46,221.508,2.44444,1.51931,0.88225,0.53153,0.48,0.46596,0.17471,2.48768,1.49758,0.89985,0.000738689,0.000738689,0.000738689
47,226.345,2.46955,1.56512,0.8835,0.55882,0.47787,0.48181,0.18489,2.43412,1.48415,0.89381,0.00071806,0.00071806,0.00071806
48,231.207,2.48824,1.56339,0.87422,0.56833,0.4798,0.47737,0.18471,2.40966,1.5096,0.89213,0.000697431,0.000697431,0.000697431
49,235.993,2.48184,1.5299,0.85904,0.56833,0.4798,0.47737,0.18471,2.40966,1.5096,0.89213,0.000676802,0.000676802,0.000676802
50,240.853,2.50237,1.54895,0.87452,0.56933,0.48949,0.48884,0.18619,2.36586,1.54218,0.8885,0.000656173,0.000656173,0.000656173
51,245.729,2.71217,1.62043,0.87013,0.57421,0.48808,0.48877,0.19107,2.34364,1.56716,0.88708,0.000635544,0.000635544,0.000635544
52,250.588,2.32573,1.45359,0.87719,0.58411,0.47414,0.49548,0.1986,2.32936,1.54043,0.88531,0.000614915,0.000614915,0.000614915
53,255.323,2.29516,1.45851,0.87391,0.58411,0.47414,0.49548,0.1986,2.32936,1.54043,0.88531,0.000594286,0.000594286,0.000594286
54,260.272,2.59118,1.54034,0.85428,0.58831,0.49,0.50956,0.20104,2.34295,1.51448,0.88585,0.000573656,0.000573656,0.000573656
55,265.354,2.40517,1.48263,0.87199,0.60221,0.50788,0.52476,0.19902,2.38153,1.49324,0.88761,0.000553027,0.000553027,0.000553027
56,270.82,2.39812,1.46087,0.87041,0.58257,0.50323,0.51275,0.19155,2.4127,1.48934,0.88868,0.000532398,0.000532398,0.000532398
57,275.761,2.38591,1.50855,0.86909,0.58257,0.50323,0.51275,0.19155,2.4127,1.48934,0.88868,0.000511769,0.000511769,0.000511769
58,280.899,2.35367,1.45513,0.87428,0.59062,0.50586,0.51988,0.19753,2.37212,1.48162,0.88435,0.00049114,0.00049114,0.00049114
59,286.073,2.33958,1.46584,0.87555,0.57605,0.50929,0.51457,0.20058,2.31461,1.47549,0.87957,0.000470511,0.000470511,0.000470511
60,291.273,2.42445,1.52681,0.87557,0.5622,0.50889,0.50339,0.20236,2.2871,1.46136,0.87699,0.000449882,0.000449882,0.000449882
61,296.344,2.5645,1.51812,0.86391,0.5622,0.50889,0.50339,0.20236,2.2871,1.46136,0.87699,0.000429253,0.000429253,0.000429253
62,301.527,2.31081,1.46262,0.88091,0.54599,0.53947,0.5054,0.20361,2.27667,1.4532,0.87535,0.000408623,0.000408623,0.000408623
63,306.817,2.46119,1.50624,0.85432,0.57937,0.53208,0.51698,0.20915,2.26834,1.44635,0.87379,0.000387994,0.000387994,0.000387994
64,311.99,2.21218,1.41337,0.8896,0.60143,0.54566,0.52639,0.21077,2.26383,1.44428,0.87303,0.000367365,0.000367365,0.000367365
65,317.01,2.3386,1.44279,0.87001,0.60143,0.54566,0.52639,0.21077,2.26383,1.44428,0.87303,0.000346736,0.000346736,0.000346736
66,322.218,2.32179,1.44497,0.87603,0.59911,0.54788,0.52621,0.21111,2.2591,1.43475,0.87306,0.000326107,0.000326107,0.000326107
67,327.574,2.42979,1.49701,0.8612,0.60916,0.53879,0.5336,0.21185,2.25345,1.42978,0.87322,0.000305478,0.000305478,0.000305478
68,332.938,2.47245,1.47993,0.85407,0.60342,0.53333,0.53895,0.21254,2.24987,1.42679,0.87356,0.000284849,0.000284849,0.000284849
69,338.163,2.30669,1.41095,0.86314,0.60342,0.53333,0.53895,0.21254,2.24987,1.42679,0.87356,0.00026422,0.00026422,0.00026422
70,343.784,2.24905,1.39454,0.88554,0.6044,0.54222,0.54263,0.21125,2.25495,1.42491,0.87432,0.00024359,0.00024359,0.00024359
71,349.084,2.25793,1.57505,0.87532,0.58946,0.55731,0.54536,0.21238,2.2592,1.42734,0.87411,0.000222961,0.000222961,0.000222961
72,354.051,2.23852,1.58076,0.89173,0.62029,0.55374,0.54802,0.21319,2.2514,1.43258,0.87216,0.000202332,0.000202332,0.000202332
73,358.693,2.32447,1.6957,0.86702,0.62029,0.55374,0.54802,0.21319,2.2514,1.43258,0.87216,0.000181703,0.000181703,0.000181703
74,363.343,2.24915,1.56712,0.85786,0.61258,0.54707,0.542,0.21404,2.23632,1.43182,0.87013,0.000161074,0.000161074,0.000161074
75,368.231,2.37417,1.65871,0.86626,0.60717,0.54889,0.54022,0.21402,2.22799,1.42886,0.8689,0.000140445,0.000140445,0.000140445
76,372.993,2.19017,1.45907,0.88273,0.60821,0.54385,0.5331,0.21329,2.23452,1.42716,0.86921,0.000119816,0.000119816,0.000119816
77,378.019,2.27004,1.47978,0.87349,0.60821,0.54385,0.5331,0.21329,2.23452,1.42716,0.86921,9.91865e-05,9.91865e-05,9.91865e-05
78,382.982,2.1758,1.45259,0.86918,0.611,0.54626,0.53303,0.21219,2.23778,1.43406,0.8692,7.85574e-05,7.85574e-05,7.85574e-05
79,387.798,2.31739,1.5209,0.8873,0.6134,0.54626,0.53647,0.2128,2.23689,1.43672,0.86901,5.79283e-05,5.79283e-05,5.79283e-05
80,392.531,2.14721,1.42076,0.86259,0.61688,0.54404,0.53766,0.21353,2.23334,1.4391,0.8683,3.72991e-05,3.72991e-05,3.72991e-05
